COSMIC_ID,14.3.3_beta,14.3.3_zeta,4E.BP1,4E.BP1_pS65,4E.BP1_pT37_T46,53BP1,ACC_pS79,ADAR1,Akt,Akt_pS473,Akt_pT308,Annexin_VII,Annexin.1,AR,ATM,B.Raf_pS445,Bad_pS112,Bax,Bcl.2,Bcl.xL,beta.Catenin,c.Jun_pS73,c.Kit,C.Raf_pS338,Caveolin.1,CD31,CD49b,Chk2,Claudin.7,Collagen_VI,Cyclin_B1,Cyclin_E1,DJ.1,Dvl3,E.Cadherin,eEF2K,EGFR,EGFR_pY1173,eIF4E,ETS.1,FASN,Fibronectin,FoxM1,G6PD,Gab2,GATA3,GSK3.alpha.beta,GSK3.alpha.beta_pS21_S9,HER2,HER3,Heregulin,IGFBP2,INPP4B,IRS1,JNK_pT183_Y185,Lck,MAPK_pT202_Y204,MEK1,MEK1_pS217_S221,MIG.6,mTOR,Myosin.IIa.pS1943,N.Cadherin,N.Ras,NDRG1_pT346,Notch1,p27_pT198,p70S6K_pT389,PAI.1,PDK1,PDK1_pS241,PEA15,PEA15_pS116,PI3K.p85,PKC.alpha,PKC.delta_pS664,PKC.pan_BetaII_pS660,PR,PRAS40_pT246,PREX1,PTEN,Rab25,Rad50,Raptor,Rb_pS807_S811,RBM15,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,SF2,Shc_pY317,Smad1,Smad3,Smad4,Src,Src_pY416_Caution,Src_pY527,STAT3_pY705_Caution,Syk,TAZ,TFRC,TIGAR,Transglutaminase,Tuberin,Tuberin_pT1462,VEGFR2,YB.1_pS102,Unnamed: 108
684052,-0.294906,-0.654378,0.960855,0.433676,1.129376,0.597362,-0.28611,-0.042627,0.089189,-0.206629,-0.135232,0.006921,-0.078207,-0.126012,1.399808,0.132158,0.175626,-0.012422,1.49148,-0.332624,-0.3242,-0.056298,1.625667,0.014317,4.239711,0.12396,-0.701436,0.715439,-0.59026,-0.051017,0.189635,-1.09977,-0.045382,-0.219956,-1.263574,0.239402,-1.136099,0.03041,-0.027227,-0.292112,0.232628,2.388743,-0.021065,-0.107817,1.048594,-0.135422,-0.097976,0.204013,-1.17143,-0.600227,0.25488,2.386449,0.094024,0.439871,0.43618,0.044186,-0.0152,-0.115228,0.733767,-0.12171,0.33702,0.006998,-0.102218,0.085634,-0.433737,0.202048,-0.07429,0.369492,-0.700167,-0.049995,-0.057155,-0.325537,-0.071083,0.341778,0.008687,0.668362,0.96108,-0.017937,-0.014781,2.921504,0.509707,0.651219,0.053421,0.235559,-0.326679,0.458596,-0.231669,-0.638867,-1.011926,0.279335,-0.214726,0.315235,-0.035578,0.440546,-0.299505,0.769621,0.726614,1.177208,1.373441,-0.254419,-0.370364,-0.324374,-0.475106,-0.174977,0.479978,0.47414,-1.03551,-0.196455
684052,-0.26018,-0.45694,0.8436,1.5741,2.1911,0.33169,-0.27743,-0.80044,-0.33466,0.56194,-0.066968,-0.066432,0.28736,-1.2424,0.86499,0.31077,0.28341,-0.89631,0.56361,0.17101,-0.53074,0.084992,0.89917,-0.055166,1.3839,-0.36673,-0.88155,1.1091,-1.7941,-0.82532,2.3643,-1.062,-0.57889,-0.10154,-3.9718,0.27664,-0.84015,-0.0091021,0.039456,-0.28572,0.96805,-1.5458,1.5631,0.68691,1.1903,-0.38093,-0.18592,0.81621,-0.9838,-1.3783,-0.084513,0.47856,-1.1176,0.63004,-0.24578,-0.79902,-0.067256,0.75809,1.5025,0.49906,0.5473,0.066828,0.27967,-0.16526,-0.95054,0.035347,-0.19856,1.4259,-1.0766,0.3898,0.043296,-0.15981,0.075802,-0.064783,0.58862,0.32507,0.20519,-0.39568,0.62294,2.2225,0.55776,-1.1491,0.47318,0.24965,2.6477,0.32451,0.34257,3.2867,4.3329,-0.12341,-0.22287,0.40148,-0.0031336,0.25703,-1.2568,-0.46255,1.3103,-0.91561,-3.723,-0.032056,1.5412,-0.3754,-0.97758,-0.72321,0.45952,0.38292,-0.83164,0.65925
684072,0.020525075,-0.056819444,0.618885122,0.256678533,1.232724998,0.416037637,-0.87730813,0.231285616,-0.198868184,0.02507769,-0.075999225,-0.349138659,-0.493738773,0.935133003,0.364777526,0.884411487,-0.184910412,0.125981136,0.609762959,-0.202203946,-1.861124642,-0.542153108,1.45241374,0.298091023,3.690884954,0.193331367,-0.105361512,0.645464713,-0.596938388,0.162811973,0.29414265,-0.114407197,0.301641684,-0.431909613,-0.349206993,-0.274881298,-0.73529491,0.013365368,-0.043790076,-0.090978048,0.383984818,0.168013715,-0.53045032,0.201353249,-0.93941705,0.042550256,0.326977763,-0.198277418,-0.759768581,-0.087898768,0.396737665,1.320047442,-0.062708945,-0.156235169,0.003869176,-0.450057288,-0.038935381,-0.511556382,0.067661727,-0.016640736,0.127949537,-1.362244056,0.22180628,0.282199023,0.183089275,-0.400893705,-0.096690172,0.08766943,-0.036126013,-0.548620746,-0.44790537,-0.266525849,-0.069811568,-0.229745107,-0.062083324,0.077586547,0.097740727,0.029965596,0.152580636,1.587730901,-0.626062655,-0.163510985,0.263538835,0.121582588,-0.034974911,0.167689738,0,-2.083804109,-1.951568087,0.233519407,0.15704986,0.45952669,-0.099113193,0.198246897,0.272763049,0.083335104,0.28989573,0.439173012,-0.828145591,-1.017147812,-0.4458979,-0.14857006,-0.60625379,-0.233734245,0.503758942,0.090503985,-0.815450483,-0.129367186
684072,-0.182021,-0.157905,0.990581,0.105811,0.971313,1.358833,-0.598245,0.101917,0.019584,0.187927,0.025442,-0.675303,-0.807093,0.941542,0.444643,0.615874,0.056317,0.330504,1.083553,-0.247632,-1.079711,-0.203638,2.623611,0.048317,3.887949,-0.080257,-0.695263,0.82969,-0.455145,0.186366,0.498438,-0.968954,0.69122,0.055393,-1.230056,-0.028744,-1.341042,0.098062,0.087074,-0.302023,-0.166084,-0.677324,0.028682,-0.331047,-0.488831,0.14251,0.082868,-0.120965,-1.594776,-0.888189,0.592991,1.185409,-0.021787,-0.060839,0.847411,-0.478085,-0.765512,-0.334885,0.024519,0.010524,0.492708,-0.93216,-0.5023,0.037597,-1.159532,-0.3537,-0.010427,-0.235047,-0.91575,-0.254268,-0.328723,-0.331001,-0.188977,-0.087578,-0.39367,0.347794,0.636586,0.090079,-0.116667,1.28689,0.259263,0.071707,0.117116,0.559525,-0.503949,0.458408,-0.048088,-1.993788,-2.403326,0.431975,-0.171652,0.477591,0.021724,0.325668,-0.104629,-0.001682,0.362932,1.572059,-1.122898,-0.240076,-1.111146,-0.139528,-0.438981,-0.136175,0.658278,0.471406,-1.489892,-0.250689
684072,-0.42208,-0.1191,1.345,1.2471,1.91,0.37513,-0.21709,-0.84522,-0.40852,-0.095882,-0.57338,-0.55007,-1.1062,-1.1605,0.28199,1.2188,0.31977,-0.46488,-0.44591,0.16198,-2.1636,-0.066431,1.8134,0.044469,1.3589,-0.35447,-0.90558,1.0965,-1.6559,-0.77698,2.8269,-0.34075,0.079535,0.83209,-3.7604,0.59738,-0.98763,0.047932,0.18471,-0.78318,1.3675,-3.1047,1.826,0.55459,-0.99525,-0.26951,-0.14197,0.64766,-1.0364,-1.4428,0.35776,-0.49381,-1.2285,0.25298,-0.064713,-1.0379,-0.37601,0.38899,0.51042,0.093039,0.84956,-0.57721,-0.54205,-0.30389,-0.83806,0.8189,-0.24382,1.3241,-1.282,0.41581,-0.22134,-0.52519,-0.005807,-0.34388,-0.1963,0.24158,0.61431,-0.54328,0.45695,1.7679,-0.3748,-1.05,0.42685,0.82462,2.2863,0.65223,0.20355,0.23391,1.0684,-0.17366,-0.35231,1.0205,0.36336,0.23774,-0.78378,-0.76335,0.71344,-1.1389,-4.2169,-0.2304,1.5419,0.10637,-1.1868,-0.74447,0.97851,0.71608,-0.85356,0.24849
684681,0.04844,1.076537,0.261304,-0.236664,0.024407,-1.522055,0.564213,0.97707,-0.805265,-0.801494,-0.521791,-0.124393,-1.363512,0.162335,-2.236379,-0.472312,-0.179237,0.150141,-0.836752,0.726816,1.174308,-0.72061,1.009181,-0.193968,-2.335504,-0.283508,0.802943,-0.365198,4.770954,0.71108,-1.387414,0.843103,0.331569,-0.898216,3.425,-0.053389,-0.337164,0.140638,0.317034,0.601257,1.413758,-0.494797,-1.57171,0.063017,0.850375,0.292561,0.141085,-0.138318,1.205327,-0.436064,-0.159314,1.635169,-0.327242,-0.422494,0.232648,1.013959,1.452879,0.893034,1.282904,0.074672,0.501128,0.050101,0.207413,-0.073305,-0.611465,-0.62154,-0.024817,0.413908,-1.184124,0.594203,0.773453,0.201445,1.931281,-0.113226,-0.396017,-0.270825,-0.026416,-0.205311,0.039575,-0.498816,0.497079,-0.408598,-0.201053,0.059831,-1.779033,0.139316,0.097457,1.426545,1.267973,0.210367,0.359318,-0.228414,-0.335627,-0.184475,-1.135923,-0.013067,0.347538,0.632121,0.406849,0.253347,1.231768,1.459037,-0.087453,1.508838,-0.886343,-0.18636,-2.108796,0.156537
684681,-0.050347,-0.14993,0.15237,0.22643,0.57884,-1.3525,0.90796,-0.085778,-0.0045373,0.85979,-0.88664,-0.03529,-2.1758,-0.89926,-1.424,-0.50269,-0.68892,-0.54466,-1.0996,0.23043,0.35877,-0.011934,0.27162,-0.098376,-3.3776,-0.25398,0.19727,0.18786,2.3934,0.0053733,1.2335,0.39084,-0.018673,0.066772,0.018727,2.4363,0.10076,0.17085,0.088961,-0.2184,2.4256,-2.5637,1.3941,0.47495,1.9161,-0.47934,0.11161,0.070301,0.44101,-0.29188,-0.3535,0.52653,0.15529,-0.44853,0.050341,-0.86068,0.065533,1.8365,0.089938,0.15882,0.38672,-0.87131,-0.36915,-0.079216,-0.22692,-0.12596,-0.49336,0.99115,-1.5837,-0.068787,0.73599,-0.92213,-1.3241,-0.51896,0.23218,-0.37871,-0.67777,-0.47664,0.28918,-1.1394,-0.12916,-1.2739,-0.44207,0.076955,1.3273,-1.6686,0.38491,1.6043,1.6796,0.15866,0.58193,0.19165,0.71378,-0.22182,-1.2876,0.7535,-0.084198,0.60008,-1.4821,-0.14494,1.7551,1.1367,-0.75992,-1.4384,0.2929,-0.45475,-2.4145,0.25437
687448,0.008228475,0.608554065,0.654673676,0.200603165,1.059897474,-0.372348201,0.152151238,0.252916643,1.352544394,1.156464425,0.151959246,-0.371529908,-0.034772081,1.296333764,1.324850723,1.061050929,-0.116097338,0.66108013,-0.047089069,-0.192828563,-1.068592325,-0.517052493,-0.106418728,-0.104640248,-0.422153702,0.00943956,-0.070904285,-0.128267729,-0.102980934,0.184308111,-1.132867555,0.611645263,-0.05292016,-0.041860166,-0.177630595,0.508594586,-0.681313639,-0.399498099,-0.170534153,-0.194469701,0.513844537,1.593793366,-0.626287451,0.014280594,2.164923493,-0.107069643,0.161553577,0,0.476119154,0.876897495,-0.136782813,0.721142642,0.307508934,-0.073549583,-0.015994125,-0.238868826,0.443345493,-0.693827127,0.385746358,-0.285607777,-0.006457882,-0.36094314,0.18889692,-0.02740594,3.151618298,-0.179904005,0.022433246,-0.121756874,-0.063111728,-0.173917885,0.098561225,0.523610405,-0.041005918,0.25740331,0.286185515,0.130030576,0.691535188,-0.03016478,-0.05670179,1.023637634,-4.801349841,-0.222811913,-0.262786028,0.138568572,-1.296963774,-0.377562475,0.185310793,-1.66803206,-1.166044235,-0.01845638,0.29755081,-0.024456083,-0.314881152,-0.02821669,-0.012119834,-0.253653041,-0.781210422,0.03035301,-0.93146712,1.533868365,-0.65773353,0.327917337,0.238316898,-0.136825438,-0.081444119,0.052056913,0.19798066,-0.034939751
687448,0.061215,0.373458,0.501463,0.670464,1.082495,-0.580872,-0.530023,0.033538,1.905952,1.173718,0.834709,-0.568144,-0.673063,-0.366544,-0.145538,0.950432,0.015233,0.957436,0.05754,0.111398,0.157282,-0.28526,-0.042133,-0.278114,-3.31092,-0.262291,0.084267,0.288704,-0.226679,0.516296,-1.612749,0.463405,0.104377,0.392409,-1.107957,0.450346,-1.428844,-0.141323,0.306838,0.598248,-0.200141,1.337736,-0.90592,0.822008,0.670903,-0.539416,0.574048,0.511692,0.84254,1.503373,-0.343312,-0.057311,-0.233113,-0.514259,-0.532219,-0.376376,2.168621,0.020716,1.198578,-0.163541,0.136444,-0.436957,0.409136,-0.402779,2.529633,0.664191,-0.449723,0.471311,1.717305,-0.076367,-0.064804,0.458679,0.136682,0.215766,-0.296935,0.162963,0.450713,-0.018322,0.204804,-0.186501,-3.09044,-0.658222,-0.701126,0.339369,0.129754,-1.374167,0.30895,-0.201047,0.340257,-0.384081,-0.487859,0.062218,-0.227091,-0.171883,0.214612,-0.471922,0.105819,0.181642,-1.826309,0.581049,0.982953,0.554361,-0.462491,0.280864,0.221099,0.67902,-0.408356,0.239883
687448,0.030964,0.66857,1.5575,1.2462,2.1257,-0.10676,0.86057,-0.70475,0.48636,0.37007,-0.14785,-0.40799,-0.22949,-1.1863,0.3534,0.98541,0.11374,-0.35312,-0.64536,0.3173,-0.4292,-0.15471,-0.63893,0.057388,-3.9168,-0.36793,0.01548,0.14171,-1.6506,-0.66413,0.94524,0.45837,-0.73409,-0.29065,-3.7534,0.64219,-0.35783,0.097881,-0.046138,0.47068,1.5351,-2.1724,1.1276,0.5637,-0.49903,-0.18743,-0.14305,0.90595,0.80395,0.46469,-0.089091,0.43242,0.38815,0.43842,-0.51113,-0.95355,1.0455,0.35197,2.3529,0.089174,0.33767,-0.0047004,0.58856,-0.47097,2.2174,0.50464,-0.21999,1.0902,-1.3797,0.11492,-0.37443,0.049774,0.43143,-0.34544,0.93489,0.56997,0.79,-0.44426,0.51673,0.84644,-2.8082,-1.7435,-0.3396,0.13085,1.3401,0.018,0.58108,1.4016,1.8034,-0.15963,-0.3253,0.41305,-0.11776,-0.25663,-0.58226,-0.0075166,0.13721,-1.1554,-4.3202,0.28812,0.24409,0.24853,1.1148,-0.63057,0.39823,0.28149,-1.1325,0.55047
