COSMIC_ID,14.3.3_beta,14.3.3_zeta,4E.BP1,4E.BP1_pS65,4E.BP1_pT37_T46,53BP1,ACC_pS79,ADAR1,Akt,Akt_pS473,Akt_pT308,Annexin_VII,Annexin.1,AR_x,ATM_x,B.Raf_pS445,Bad_pS112,Bax,Bcl.2,Bcl.xL,beta.Catenin,c.Jun_pS73,c.Kit,C.Raf_pS338,Caveolin.1,CD31,CD49b,Chk2,Claudin.7,Collagen_VI,Cyclin_B1,Cyclin_E1,DJ.1,Dvl3,E.Cadherin,eEF2K,EGFR_x,EGFR_pY1173,eIF4E,ETS.1,FASN_x,Fibronectin,FoxM1,G6PD_x,Gab2,GATA3_x,GSK3.alpha.beta,GSK3.alpha.beta_pS21_S9,HER2,HER3,Heregulin,IGFBP2_x,INPP4B_x,IRS1_x,JNK_pT183_Y185,Lck,MAPK_pT202_Y204,MEK1,MEK1_pS217_S221,MIG.6,mTOR,Myosin.IIa.pS1943,N.Cadherin,N.Ras,NDRG1_pT346,Notch1,p27_pT198,p70S6K_pT389,PAI.1,PDK1,PDK1_pS241,PEA15_x,PEA15_pS116,PI3K.p85,PKC.alpha,PKC.delta_pS664,PKC.pan_BetaII_pS660,PR,PRAS40_pT246,PREX1_x,PTEN_x,Rab25,Rad50,Raptor,Rb_pS807_S811,RBM15_x,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,SF2,Shc_pY317,Smad1,Smad3,Smad4,Src,Src_pY416_Caution,Src_pY527,STAT3_pY705_Caution,Syk,TAZ_x,TFRC_x,TIGAR_x,Transglutaminase,Tuberin,Tuberin_pT1462,VEGFR2,YB.1_pS102,YWHAB,YWHAZ,EIF4EBP1,TP53BP1,ACACA,ADAR,AKT1,ANXA7,ANXA1,AR_y,ATM_y,BRAF,BAD,BAX,BCL2,BCL2L1,CTNNB1,JUN,KIT,RAF1,CAV1,ITGA2,CHEK2,CLDN7,COL6A1,CCNB1,CCNE1,PARK7,DVL3,CDH1,EEF2K,EGFR_y,EIF4E,ETS1,FASN_y,FN1,FOXM1,G6PD_y,GAB2,GATA3_y,GSK3B,GSK3A,ERBB2,ERBB3,NRG1,IGFBP2_y,INPP4B_y,IRS1_y,MAPK8,LCK,MAPK1,MAP2K1,ERRFI1,MTOR,MYH9,CDH2,NRAS,NDRG1,NOTCH1,CDKN1B,RPS6KB1,SERPINE1,PDPK1,PEA15_y,PIK3R1,PRKCA,PRKCD,PRKCB,PGR,AKT1S1,PREX1_y,PTEN_y,RAB25,RAD50,RB1,RBM15_y,RICTOR,RPS6,SRSF1,SHC1,SMAD1,SMAD3,SMAD4,SRC,STAT3,SYK,TAZ_y,TFRC_y,TIGAR_y,TGM2,TSC2,KDR,FYB1
683665,-0.248750962,-0.325888843,-0.041144743,-0.138127495,-0.130787715,0.129804996,0.143390942,0.462142615,0.293761747,-0.809579155,-0.25239917,-0.48093222,-1.783347162,-0.193115229,-0.330439704,0.676275229,0.087527916,0.471627577,0.843318437,-0.108950727,-2.73584605,-0.001933247,0.190971871,0.062172962,-2.714301538,-0.019560775,-0.673649424,0.406153308,0.145710633,-0.14833359,1.051895461,-0.103216904,-0.344087255,-0.125980456,-0.263203267,-0.214741174,-1.122255162,0.143380458,-0.011415824,0.790466335,-0.377985592,-0.797895173,0.438420441,-0.55606632,-0.657712312,1.750681722,-0.257410521,-0.918248678,-1.866858141,-0.725022264,-0.481434687,2.321245233,0.084028723,0.035684144,0.691413389,2.486199197,-0.373705129,-0.397008783,0.492169264,-0.248775433,-0.040624394,-0.257654398,-0.053227195,-0.187261306,0.2399741,1.674346548,0.009586818,0.166111874,-1.045761589,-0.06623638,-0.115803672,-0.546610941,-0.240856291,0.517930366,0.884613937,0.668413364,-0.390508695,0.010501107,0.504078118,-0.447171705,-0.597930119,-0.265403125,0.199323754,-0.381163763,0.982906556,2.127659535,-0.011943969,-0.992995835,-0.400709842,0.195153339,-0.489194766,0.053804249,0.593149222,0.055310045,-0.691916858,-0.042979004,-0.627474768,-0.232263285,-0.96642834,-0.535661072,1.493241519,-0.198249617,-0.877451755,0.290323819,0.481854171,-0.764949699,-0.267626541,8.685775376,9.792921013,3.928037416,6.628750295,6.07337991,9.922876078,7.439468947,7.141965561,5.830641738,-5.268633008,7.145024301,6.368243317,4.304803797,7.519790793,7.164517716,6.805917324,8.062703848,4.473021232,-6.116629915,7.21381084,5.622728793,-3.153155791,4.747091768,-3.683670508,-5.268633008,7.15777736,4.486440014,7.637568636,7.044848425,-0.876315586,6.240537173,-5.631203088,6.795248882,9.241203839,8.257906984,5.312462936,7.014680467,5.690000257,1.978239518,4.569345264,6.837239134,6.139873653,2.535139357,0.285955843,-4.738118292,2.6719253,7.020008809,4.519088205,5.23110217,8.040290592,7.064864025,6.767884062,0.858358197,7.307510124,10.09476031,0.073194644,7.299877356,2.849731332,7.674919649,5.972357028,5.902613302,0.960185682,6.559459388,6.984590736,7.055891353,7.342109905,7.058202164,7.692072879,-6.853595509,5.052668781,6.916276763,8.194792026,-5.631203088,7.415750364,8.493714423,5.717129883,6.36814264,10.75706171,8.908362532,5.538632458,3.799548128,6.512863318,6.002505753,5.05492221,8.266925889,5.506062553,5.020745523,8.792109827,5.145817337,0.506885827,6.396554841,-6.853595509,4.342596761
684052,-0.217333838,-0.505226833,0.653001584,0.74330667,1.014864017,0.621596602,-0.220982751,-0.121504394,-0.156797005,0.168200347,0.009719935,0.03382603,0.109067237,-0.221197037,1.167387772,0.151389242,0.224690856,-0.170156031,1.408750696,0.052929758,-0.236832575,-0.167404771,1.869912824,-0.088223164,3.658160275,-0.071264592,-0.808831399,0.814706229,-0.629102323,-0.16675389,0.381922184,-1.117937465,-0.190523376,-0.255146515,-1.423295309,-0.050722812,-1.216959092,0.025175562,-0.039527641,-0.082802236,0.293851366,1.831246839,0.168314913,0.245083438,1.151142328,-0.084063321,-0.198754438,0.378127405,-1.030258111,-0.679211156,0.099736768,2.162451412,-0.211299013,0.391257973,0.132019959,0.102016528,0.112842262,-0.033170528,1.078020386,0.170199628,0.407374668,0.18303635,0.166237382,0.027469332,-0.681642879,0.008359056,-0.09979513,0.183734044,-0.606268703,0.143061491,-0.029363076,-0.053591589,0.546805206,0.330670837,0.179288473,0.521858751,0.662486935,-0.079185161,0.132743483,2.630191165,0.579811839,0.315261666,0.241239463,0.22415798,0.122166906,0.354635725,-0.176386388,0.477939362,0.429143368,0.08378718,-0.270375596,0.28680541,-0.078424274,0.427127748,-0.459298098,0.134604533,0.647543321,0.412341068,-0.177854287,0.016400847,0.142503411,-0.296554835,-0.389973749,0.241302887,0.36560227,-0.991057782,0.130653212,8.000142485,8.715517944,6.871632524,6.765025915,6.71194419,8.531167118,7.48601745,7.460429518,9.115651577,-4.25080725,6.807861001,4.786465141,4.988075124,5.409901789,5.871503094,6.3640866,7.229680045,4.949355724,4.69931118,7.274028263,10.97145183,-0.343916654,5.111574967,-1.618539034,5.482208072,8.182099976,1.915104689,7.58232003,7.151885087,-2.180417922,4.519361071,1.726472674,6.668503035,4.457242002,10.06486596,12.57613592,8.17760527,7.93053139,6.747077878,1.455170652,6.411148948,6.260352394,4.964968403,0.525296739,4.894360689,8.548514851,4.145797532,6.888616199,5.290289366,-3.113303726,7.198444589,6.50357923,6.226343865,7.642570131,10.88943938,5.10806369,7.187672748,5.023920323,5.98065396,5.422678508,5.558800124,3.949846187,5.912339219,7.320850601,6.389618464,6.701205915,2.813127056,8.845413747,-2.872295626,6.852611707,8.985177035,5.893086111,-2.180417922,6.614771383,6.73375362,5.069767684,5.00327653,8.381233709,8.550537359,8.43984555,4.810428916,6.277646861,6.25003463,5.30109323,6.669694483,3.470291939,4.733896017,9.184941134,3.513400881,2.390160661,6.766697152,-0.595455421,-6.572735344
684055,-0.088502236,-0.430654664,1.172955323,0.474626328,1.219204834,1.295142867,0.156837956,1.309279239,-0.319223455,0.656454953,-0.093395311,-0.665505798,0.02724713,2.278656746,0.812696249,0.52721236,0.39489641,0.397897354,-0.077309714,0.069414555,-0.019008282,-0.125691744,1.388311767,-0.004514285,4.127245621,0.069871246,-0.573449153,0.848408242,-0.706692976,-0.968189017,0.118868371,-0.757314148,0.285229734,0.203049182,-1.645440157,0.355310938,-1.119024551,0.030431529,0.222278069,0.170903126,0.538346286,0.127405019,0.060779056,0.684406188,-0.773925909,-0.120816969,0.202094907,1.778479157,-0.703185097,-0.315398724,-0.054387561,1.891715452,-0.449166928,0.535482051,-0.194480188,-0.707878549,-0.302343662,-0.443124454,0.702559645,0.187068659,0.351335764,-0.457937817,0.329477265,-0.12313356,-1.163628631,-0.357134194,0.162072913,-0.202423935,-0.629929741,-0.198882097,-0.340143621,-0.458607617,1.237467979,-0.009189364,-0.452582601,0.091556643,0.918548365,-0.080321899,-0.08094327,0.723403431,-0.896349768,-0.736263551,0.437142025,0.574155997,-0.763726701,0.811600836,-0.090943978,-3.52567105,-2.524284257,0.420375435,0.32712483,0.14430969,0.325431793,0.280579768,-0.239868555,-0.587164472,1.171092366,0.131743251,-0.680001956,-0.254319127,-0.080503554,-0.087908366,0.051885367,0.431197985,0.704892811,-0.701165169,-0.247536757,8.850172159,9.373056574,8.648659766,7.505324791,6.398849367,9.285232053,6.770797828,4.932707788,8.886777343,5.754218392,6.633881348,6.841924099,4.781091327,5.054501079,5.060267336,5.892582122,8.449366146,7.015626724,6.081130858,7.690133531,11.64085684,2.926520058,3.628797229,-4.193323263,2.727612068,7.00022888,2.018670805,7.355728929,7.310048807,-1.975418233,4.461624027,0.480331474,6.217773177,3.786195133,8.142467569,9.964596852,6.723497346,7.20627975,4.207370582,2.344485974,6.935707708,6.562906703,5.125759762,-1.009526087,4.685194185,8.133509196,-1.368157065,7.638827194,5.694824364,2.265395385,7.535539991,5.281793349,6.748904358,7.823015715,8.281187288,-1.705657964,7.605201366,2.519726981,5.997843263,6.419505179,5.75878489,-0.30325729,5.842073534,6.953411418,6.480446676,4.571259904,0.80863559,8.7817225,-8.716885219,5.762326645,6.392251665,4.663169929,-4.073029029,7.048167734,5.532005944,4.763778779,5.685527333,9.616064791,8.535697064,8.315946146,4.896098431,5.898801885,6.679686116,5.877730974,6.750242665,0.027948618,6.565298271,8.315192803,4.716048098,0.629628514,6.987910033,-5.546960218,-5.909530297
684057,-0.103809703,-0.14260971,0.734877791,0.092442383,-0.308484096,1.394402437,0.433428461,0.254458699,-1.012326332,-0.938819393,-0.457134928,-0.776299003,-0.846244362,1.798553936,-0.433099584,0.745181172,0.745953609,0.179693084,-0.290744833,0.335103237,-1.376447881,-0.4804683,2.358264727,-0.001840753,4.357805021,-0.173580989,-0.224548557,0.417006096,-0.884374134,-0.178331773,0.635712205,-0.392308675,-0.21949155,0.480520524,-1.573828022,-0.45874502,-1.055518651,0.275862709,-0.050340764,0.695859761,-0.401604192,2.33513904,0.772411485,-0.665930322,-0.789607449,0.108509589,0.12494867,1.559934728,-0.234085006,-0.268258442,-0.070144616,1.901155507,-0.41024603,-0.087330839,-0.100003654,0.250835024,-0.360278653,0.04437939,0.607012704,0.099924888,0.206058497,-0.758948207,0.094444908,-0.228991759,-0.490333272,0.400243564,-0.135302819,0.828838505,-0.287563542,-0.180483682,-0.309960054,-0.341300042,0.180733031,0.266142089,1.38505039,-0.459457075,0.181080985,-0.046076076,-0.15607066,1.523863157,-0.785464884,-0.742881421,0.15368695,0.477409538,0.134028177,1.874109709,-0.030264949,-3.430488695,-2.498535535,0.109753725,0.142433757,-0.090311569,0.131545844,-0.235141919,-0.017253579,-0.117310815,0.306248363,0.22669426,-0.031968642,0.03356924,0.223874262,-0.057815965,0.034595463,0.828387678,0.83173055,-0.650018857,-0.121955021,7.049213122,9.506247052,6.258444033,7.615983595,8.045307214,9.219111315,5.964953679,4.443486233,4.546140755,5.842710689,7.026080648,6.437312911,5.025562962,4.495726345,3.616870177,5.255983878,8.42117276,5.543783223,7.359172686,7.309183649,9.622092653,3.06693147,4.687603996,-1.655280357,6.245399264,6.775690765,3.130748605,6.231952068,7.520051596,0.555079509,5.716183954,-3.537224596,5.588594743,-1.872091746,10.24182343,8.954191905,7.089866277,4.763291396,4.139034752,3.284412739,7.058778754,6.012367572,6.870559083,4.786119736,4.296207683,7.167741209,-4.142945657,6.206600011,4.963873285,-0.973020655,6.707071274,5.821897433,4.813398932,7.040393054,8.270210832,-5.859152691,6.903852139,4.613248043,6.74338049,6.019609867,5.840233852,0.555079509,5.798995022,6.385678318,4.781479598,7.832762152,4.294399341,6.856104567,-7.081545112,5.545152582,8.112224065,4.56336266,-2.516760493,6.354342145,6.28445829,6.304991036,5.906370216,9.768702781,8.335219435,8.894086448,3.067778619,6.757428971,6.378953447,5.978869368,7.264252821,3.961710068,4.597788365,8.408208789,3.182506461,4.353951529,6.626209442,-0.741695109,-2.557983156
684059,-0.015858449,-0.407210438,0.694525565,0.174934733,0.167685337,0.294215834,0.153108537,0.364513741,-1.025792053,1.159811239,0.630974061,-0.188605632,0.348574319,3.216527087,-0.326725861,1.043485962,0.933768365,-0.108317915,-0.507931121,-0.262195798,-1.323459298,-0.355387499,1.58508197,0.067527424,2.953284217,-0.044571146,-0.189470593,0.270022319,-0.939930696,0.212605015,0.765509746,-0.52880877,-0.1597143,0.210955156,-1.640434515,-0.667074711,-1.075562179,0.130358019,-0.318127445,0.106543424,-0.422428641,0.275171828,0.611607321,-0.106083641,-0.446994494,-0.402018334,-0.409502677,0.748800213,-1.146421679,-0.252189438,0.023867288,2.519075231,-0.358419123,0.323710948,0.311331612,-0.506578521,-0.02743011,-0.493495019,0.516826196,-0.249695308,-0.21903797,-0.284317094,0.063457851,0.014746235,-1.110770362,0.42045241,0.246741845,-0.200617122,-0.423703611,-0.050836082,-0.023924855,-0.484872329,0.44572528,-0.430629076,-0.268740652,0.089642373,0.971770181,-0.038651511,-0.063858541,1.473189555,-3.229569742,-0.754333092,-0.008518589,-0.12743497,-0.334262883,0.92346326,-0.06407984,-0.379698914,0.283905045,0.150143074,0.107696082,0.401013728,0.208921843,0.048083491,0.046085857,-0.461317882,-0.021401981,0.173071557,-1.33052731,0.232031225,-0.436971598,-0.002781396,-0.280224607,0.356474862,0.712382618,-0.724908731,0.028663329,8.369948873,9.027453688,7.342889488,7.346297963,7.703451199,8.561014176,7.110435379,5.294640123,8.744750182,6.850183933,6.24758382,7.000227774,4.561886426,5.233498775,7.276549762,5.582663761,8.456158656,6.48170019,5.521804714,7.193045378,9.737534669,-0.962686883,4.05264723,-1.795867793,7.232514639,5.69865449,1.238946978,6.535821365,6.933733419,-1.296296783,5.600097158,4.267744242,5.10229051,3.078035895,9.205872017,12.66381628,6.258104888,6.986433812,5.944126146,-0.044054434,6.390488406,5.961857472,5.663469603,-0.531452157,4.178777552,9.512608548,2.511895697,7.687878502,5.607168725,-0.210905292,7.580394843,5.648694943,6.759029746,7.210949959,10.39264645,-3.594955099,6.76255292,5.650027071,6.740837189,5.96721099,5.631071681,0.123132485,6.108602463,6.626970303,5.276026025,2.285730426,4.213172489,8.669921417,-8.238811289,6.124159875,8.35716002,5.707089719,-3.194417169,6.830176863,5.960477636,4.853780699,6.167061444,10.42719421,8.200613813,8.526332336,5.194382913,5.614010787,6.537467514,6.156923653,7.970661116,-5.068886287,5.31349757,7.697987656,4.388494592,1.459893378,7.149845109,-1.418632326,-5.431456367
684062,0.039703098,-0.325388781,-0.408998316,-0.539983331,-0.043759336,0.567673,-0.100552346,0.237422656,-0.20972073,-0.426145029,-0.724249757,-0.214698502,-0.889976532,0.349141084,0.50573209,0.076761509,-0.344112536,0.016714716,0.21599583,0.115358642,-1.71191291,-0.50069948,1.45958987,-0.126215701,4.806264073,0.023655581,-0.132806844,0.174624958,-0.799530481,-0.188521126,0.043974844,-0.285882501,0.502333789,-0.387001459,-1.521422831,-2.004814826,-1.105519903,-0.003358566,0.041133541,0.233484821,0.198952906,0.899895503,-1.474228674,-0.056027545,-1.943943872,-0.461002069,-0.103463733,-0.524104818,-0.852173478,-0.183883416,-0.245134084,2.061788909,-0.332600218,0.115991235,-0.151540242,-0.881327141,-0.924278929,-0.120979314,-0.447797518,-0.090388769,0.011775569,-1.209226265,0.468551595,-0.085524581,-1.063699758,-0.53449736,0.220685357,-0.61024735,-0.095180196,-0.520136506,-0.516145254,-0.142411715,0.812872988,0.05957409,0.069946367,0.432938902,-0.364982164,0.031393312,-0.462616915,1.540214422,-0.621692122,-0.721085566,0.493889441,0.006346421,-0.844961829,1.295604111,-0.262533694,-3.079546543,-1.727811098,0.382092954,0.331995488,0.012521967,-0.202317058,0.983070896,0.545303829,-0.218204886,0.097274542,-0.149927182,-1.188828231,-0.549278057,0.639551167,-0.228647477,-0.198959954,0.018857492,-0.148186333,-1.301698415,-0.14262665,8.507531846,9.432924349,6.656733365,7.788628354,7.957016205,9.237411454,7.087239957,5.284410695,5.438047563,5.295779661,7.289985939,6.313283275,5.08271396,5.551228641,4.828927417,5.577202315,8.179913519,6.529234492,7.152393284,7.367365814,11.34047474,2.216785133,4.586881963,-4.673175066,2.124702577,6.801375897,3.671712595,7.416959413,7.466781241,-1.400156572,5.733455137,-0.100285398,6.319716076,2.688476338,10.27207062,10.01676832,7.699055184,6.050827102,2.615306545,-6.995103161,6.681184525,4.604964601,6.577636534,-0.415158735,4.665635584,7.682818309,2.320046401,6.653666347,4.995591756,-2.240215659,6.878693379,5.84416625,5.510294906,7.647569082,8.357503564,3.4890484,7.383710979,1.988840493,6.973053607,6.056275738,5.828463112,-3.82517816,6.042157788,6.335580343,5.827002895,5.462363224,-0.037033842,7.382988446,-6.995103161,6.693256439,8.517153771,4.761036137,-3.02547681,6.553518091,6.629349625,5.500168942,6.050827102,8.915594216,8.824568681,8.433529629,4.237117877,6.345071486,6.245240985,5.906329446,7.092111032,-1.064365824,5.005718453,9.054015066,3.940798521,-0.415158735,6.799752649,-2.602785738,-8.580065662
684072,-0.104522509,-0.070821508,0.770780714,0.386131219,0.868596665,0.875827603,-0.468566585,0.226186908,-0.321754292,-0.050937751,-0.178395209,-0.660158055,-0.577420205,0.386255524,0.26351361,0.739954367,0.011264062,0.214948265,0.916555421,-0.208895484,-1.493898448,-0.427910182,2.694003655,0.075059203,3.534954731,0.040633491,-0.51336507,0.777095179,-1.873626623,0.12774244,0.649931373,-0.421023815,0.509160428,-0.035313648,-1.041997628,-0.208903253,-1.333639257,0.055015125,-0.008056728,-0.171727092,0.336724836,-0.407813078,0.006749322,0.201568922,-0.914933056,0.080902063,0.154848042,-0.068725649,-1.007685327,-0.569018842,0.293508562,1.391952501,-0.261435998,-0.106102654,0.277747969,-0.373107091,-0.45908391,-0.451531031,0.223065052,0.020175985,0.440850507,-1.144785086,0.030680889,0.120160457,-0.558353248,-0.078404319,-0.182307882,-0.132492203,-0.598647312,-0.202982108,-0.43073071,-0.453975613,0.106204873,-0.137010347,-0.044105475,0.381463735,0.394645637,-0.032276318,0.100413814,1.375244574,-0.059434217,-0.125871821,0.301787924,0.402002952,-0.116719408,0.729125146,-0.136675909,-1.903453263,-1.916404985,0.387293844,-0.108748035,0.432366103,0.047553449,0.346416229,0.052381896,-0.121616233,0.265368543,0.965645374,-1.572368374,-0.277172397,-0.360114196,-0.192159096,-0.565001202,0.569991808,0.337373088,-1.099068481,-0.209279349,7.47146268,9.33780728,6.63915275,7.31537379,6.33228427,9.17064596,6.22589823,5.40432323,4.62914826,4.19667488,6.04540052,6.10071035,4.22603798,5.5350522,4.52940121,4.50657328,7.78396488,4.83593726,6.80418363,7.42668724,10.89118389,1.92849717,5.35149899,-1.82227422,0.54337525,8.21132526,4.0666251,8.30697576,7.37254576,-0.42117592,4.64846286,-0.00964436,6.91633774,-1.13039652,8.82714318,7.62305903,8.00268452,6.53381088,2.75496091,2.25645821,6.34392105,5.82546093,5.10451593,1.16378659,6.17873693,7.10489594,-0.31326058,6.0498284,5.307273,-3.40723672,6.54886015,5.14054765,6.12878628,7.69781554,8.43193677,-1.27478643,7.62983499,2.72046004,6.89276377,5.88154064,5.75360436,0.65387479,5.13222038,6.20902935,5.76826485,4.44258936,3.16961096,8.1629474,-7.10767644,5.61918031,7.06873049,4.98210505,-0.03086085,6.56839082,6.15954916,5.46715357,5.28490931,10.39933613,8.76083266,7.43105813,4.72876847,5.78543545,6.50599793,5.16174249,5.49107397,0.49965387,5.74075089,8.23665414,4.28302993,1.20066259,6.36691677,-1.4352511,-3.20078585
684681,0.080291666,0.562878318,-0.031156645,-0.373621471,-0.487363706,-1.291252816,0.68344947,0.821131999,-0.389176652,0.027533723,-0.594610678,-0.005856961,-1.456736669,0.066650055,-1.980224437,-0.580503096,-0.382883169,0.052065353,-0.624421258,0.623394479,0.918409113,-0.548045663,1.117290577,-0.211441702,-2.549230802,-0.188035327,0.557589714,-0.2023643,4.443533542,0.627072888,-0.982763767,0.681097872,0.315383789,-0.518011295,3.173965558,0.779200251,-0.366254294,0.112152883,0.156137822,0.384899967,1.551950144,-0.248027125,-0.711149901,0.193969536,1.432992494,0.05270305,0.068103787,-0.151307323,0.901361094,-0.093490852,-0.228520477,1.812616301,-0.142392589,-0.424202333,0.234394119,0.550762327,0.929772427,0.97370035,0.626188543,0.063807044,0.346185885,-0.67391981,0.059455066,-0.007020431,-0.381882031,-0.482281808,-0.259850265,-0.003225939,-1.092905082,0.25432016,0.7103809,-0.101862528,0.723110144,-0.136098017,-0.154639115,-0.269636103,-0.280588846,-0.238693546,-0.041056502,-0.290331841,0.214448714,-0.26750605,-0.225080524,0.040512956,-1.27158125,-0.756488239,0.006342709,0.630600671,0.320351109,0.217262818,0.490862269,-0.061713165,0.044259252,-0.145696404,-0.891124004,0.31323142,-0.204607534,0.892484365,0.523789534,0.185977611,1.033620045,1.237507514,-0.126351817,-0.551438033,-0.304737753,-2.433527282,-0.023351009,8.40571923,10.17218619,5.19609873,5.92099892,7.65158955,10.36255935,7.17899104,6.84893822,4.70145451,3.4446306,5.81453594,4.33496696,3.5143115,4.81626131,0.86263966,6.37804749,6.97580301,4.75521059,4.88363674,6.21584095,3.46823349,5.29014651,3.85146459,7.87303826,5.66681053,6.90946052,4.28267784,7.53977201,5.94748085,8.04082804,7.08622429,6.05660605,6.18412241,1.59960526,10.60254526,7.34555963,6.6446469,6.76208983,6.92286856,2.62607747,5.93058851,5.9724542,6.15986732,4.68139935,-3.15528225,5.18723694,3.61818668,2.7848845,4.44314251,-5.47721034,7.22993306,7.22040886,5.46163412,6.85901725,8.84267343,-0.43281622,6.00408456,6.80558852,4.70642504,5.18010811,5.10116235,-3.15528225,6.90298013,5.54585091,6.97631753,5.54168528,3.39623377,-5.47721034,-0.26775698,6.97271207,0.01464275,5.90703378,-5.47721034,7.01188497,5.59358147,4.33817295,6.4946924,9.31023314,7.73574194,8.52182073,3.19874669,6.00105369,5.24303392,2.3745387,8.57866519,4.00054793,4.47553091,9.7933405,3.97606029,1.31720552,6.75010476,-5.47721034,-5.47721034
687448,0.079925973,0.730826708,0.719082507,0.471093958,0.874881482,-0.357767848,0.202019496,0.266866275,1.393337116,0.902871918,0.297779612,-0.593658254,-0.230726872,0.143656523,0.520094368,0.837816109,-0.009293593,0.663010607,0.094459281,-0.057087779,-0.454688849,-0.459713061,-0.057357268,-0.147794554,-2.186147297,-0.129899433,-0.020311141,0.013628232,0.044914888,0.257502684,-0.998916874,0.729907502,-0.246987595,-0.01472756,-0.842959388,0.322117534,-1.170118353,-0.169180027,-0.055712567,0.094648528,0.436703502,1.545104161,-0.482270021,0.325040148,0.783326294,-0.187010324,0.182942195,0.242262193,0.645591961,1.142580007,-0.192028157,0.960651346,0.198544343,-0.133367188,-0.275107374,-0.22645012,1.335856878,-0.450458398,1.536410514,-0.159162592,0.05495026,-0.204842968,0.452415316,-0.207321891,2.611305031,0.195706314,-0.152476961,-0.198780238,0.017141243,-0.101546499,-0.121717186,0.516656344,0.440099626,0.154524808,0.398074663,0.534106954,0.698498471,-0.057334029,0.054818653,0.61363748,-2.868661627,-0.473065414,-0.288011187,0.163209755,-0.623569553,-0.670688092,0.104083745,-0.998288308,-0.768314016,-0.048879584,-0.124249535,0.089073825,-0.266668376,-0.069870943,0.030671333,-0.220377448,-0.293690819,-0.090493095,-1.849146307,0.650109136,-0.221754378,0.404955784,0.251536466,-0.015928838,0.273654071,-0.259959782,0.087817031,8.79776474,10.78394717,8.2108383,5.31196147,6.46796483,8.41222985,7.76354085,6.51215414,8.5559841,1.02866604,5.78962258,5.60234401,4.88947545,6.51424994,3.25356968,5.91230275,10.63709367,3.55171794,0.23589865,6.09422994,7.43391129,4.38650409,4.36343893,-3.10649355,6.99285426,6.82782918,4.42488791,8.50050644,6.86073271,-1.15896097,5.9460745,-0.86945435,7.214307,7.61741114,9.07816045,9.48619707,6.38392759,7.61179468,4.12095049,2.18943934,7.21816921,6.03049757,5.95844164,9.10795568,-3.10649355,5.08826331,7.93095535,4.33526498,4.47309178,-4.32888597,8.17783484,5.69209397,6.02462847,5.83140567,8.78317337,6.4926223,6.41061339,8.10095662,5.4736304,5.92338523,5.26916653,4.40695208,5.31075621,8.30705883,4.73810014,5.09247761,7.50861057,-5.91384847,-5.91384847,6.20865602,4.56895949,4.1881272,-3.59192037,4.98324066,6.0187354,3.76738994,4.29438589,10.71563623,8.30176036,8.19736873,4.34236022,4.6531569,5.96841246,5.40186719,7.29301327,-3.10649355,4.3910732,7.77604034,5.50030821,6.78507319,5.15291346,5.29499552,1.2050926
687452,0.09832,-0.47237,-0.124265,0.005014,-0.280498,0.662198,-0.232152,0.758721,-1.068396,-1.320371,-0.868157,0.027163,0.412024,-0.039732,-0.839699,-1.085224,-0.054696,-0.620774,0.461495,0.256087,-0.29077,0.937056,-0.15536,0.314337,2.661655,0.316871,2.141736,-0.934866,2.07036,0.045397,-0.10745,-0.126388,-0.849798,-0.653812,3.451152,-1.027198,1.096574,0.077488,-0.421017,0.684904,-0.93147,2.553111,0.229737,-0.226281,-0.550096,1.445383,-0.321503,-1.102701,0.68659,0.199782,0.551844,-0.672278,0.352078,-0.057647,0.142708,0.269479,-1.080919,-0.610508,-0.710265,0.388164,-0.73715,-2.680031,0.692294,0.265233,-0.100091,0.308661,0.43611,-0.172946,1.356334,-0.321034,-1.034639,-0.442579,0.079589,-0.819784,-0.202163,0.013906,-1.500115,0.456689,0.248252,0.031489,-1.271843,0.39461,0.008919,-0.523642,-1.368618,0.395183,-0.185453,-2.802085,-2.789958,0.094574,0.279218,-0.113587,0.388507,0.098544,0.826137,-0.163365,-0.098686,0.148331,1.389014,0.091747,-0.264675,-0.351519,0.820388,-0.850578,-0.214886,0.614684,0.01159,9.195613642,10.56868121,6.745892977,6.237155111,8.068637232,8.657666291,7.800185483,6.711054905,9.852188465,-2.17396351,5.380341095,4.971638472,5.481335308,5.762238174,2.045563577,7.518167622,8.627804717,6.344507517,-2.17396351,9.411503317,9.002140363,9.540838495,3.850047464,7.153381208,9.456758652,8.15433742,5.528273319,7.602591371,6.00354831,8.213056543,5.384882338,9.368835506,6.785287158,8.550139746,9.006337063,11.92631859,7.674021801,6.455258171,4.342028283,5.272353995,7.08106506,6.480142067,7.079139832,5.267443733,3.71590658,-0.083360961,7.188710927,5.326472678,5.452962284,1.370357006,7.789307228,7.40017445,7.63987705,7.414959291,11.60755179,7.753540128,7.089262213,5.912909874,4.999297204,4.755459299,6.107150841,5.197530818,5.547135678,8.289447332,3.801619125,4.997074253,4.949583137,-3.758926011,-5.343888512,5.566754219,1.265905842,5.277247602,3.803316413,5.628373337,1.558989021,4.457550411,5.697086087,10.55739481,8.561843205,6.497806865,3.895312197,8.652437852,6.116396722,6.656698403,7.738537774,6.320410614,4.272660332,8.814589691,3.845112356,11.28771961,5.806070255,0.082376243,1.913499331
