model_name,model_id,synonyms,model_type,growth_properties,doi,pmed,model_treatment,model_comments,msi_status,mutational_burden,ploidy,parent_id,mutation_data,methylation_data,expression_data,cnv_data,crispr_ko_data,drug_data,sample_id,tissue,tissue_status,cancer_type,cancer_type_detail,age_at_sampling,sampling_day,sampling_month,sampling_year,sample_treatment,sample_treatment_details,sample_site,tnm_t,tnm_n,tnm_m,tnm_integrated,tumour_grade,patient_id,species,gender,ethnicity,smoking_status,model_relations_comment,COSMIC_ID,BROAD_ID,CCLE_ID,RRID,suppliers
697,SIDM01076,Line 697;EU-3,Cell Line,Suspension,,,,,MSS,5.666666667,1.98303841,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00442,Haematopoietic and Lymphoid,Tumour,B-Lymphoblastic Leukemia,"('B Acute Lymphoblastic Leukemia with t 1 19 q23 p13 3 E2A-PBX1 TCF3-PBX1  (C80347)',)",12,,,1979,Unknown,,Bone marrow,,,,,,SIDP00379,Homo Sapiens,Male,Unknown,Unknown,,906800,ACH-000070,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_0079,DSMZ:ACC-42
5637,SIDM00807,,Cell Line,Adherent,,,,,MSS,15.03333333,2.988819246,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00057,Bladder,Tumour,Bladder Carcinoma,"('Bladder Carcinoma  (C4912)',)",68,,3,1974,Unknown,,Urinary Bladder,,,,,,SIDP00045,Homo Sapiens,Male,White,Unknown,,687452,ACH-000905,5637_URINARY_TRACT,CVCL_0126,ATCC:HTB-9
1205Lu,SIDM00972,,Cell Line,Adherent,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00435,Skin,Metastasis,Melanoma,"('Melanoma  (C3224)',)",37,,,,Unknown,,Unknown,,,,,,SIDP00372,Homo Sapiens,Male,Unknown,Unknown,1205Lu was dervied by serial passaging of WM793 through immune deficient mice and harvesting lung metastases (DOI: 10.4172/1948-5956.1000401).,,,,,Rockland:1205Lu
143B,SIDM00804,143B TK-;143TK-;HOS-143B;GM05887,Cell Line,Adherent,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00060,Bone,Tumour,Osteosarcoma,"('Osteosarcoma  (C9145)',)",13,,,,Unknown,,Unknown,,,,,,SIDP00046,Homo Sapiens,Female,White,Unknown,"HOS and 143B originated from the same patient: 143B is TK- and originated indirectly from HOS which is TK+ (ECACC & PMID: 20544518). 
HTK- and 143B have a common STR profile and are thought to be the same cell line (ECACC).",906796,ACH-001001,143B_BONE,CVCL_2270,ECACC:91112502
201T,SIDM00055,,Cell Line,Unknown,,,,,MSS,11.7,3.1688518,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00744,Lung,Unknown,Lung Adenocarcinoma,"('Lung Adenocarcinoma  (C3512)',)",,,,,Unknown,,Unknown,,,,,,SIDP00668,Homo Sapiens,Unknown,Unknown,Unknown,,1287381,ACH-002089,201T_LUNG,CVCL_X481,
22RV1,SIDM00499,CWR22-Rv1;CWR22-R1,Cell Line,Adherent,,,,"Cell line was derived from a human prostate carcinoma xenograft (CWR22R) that was serially propagated in nude mice after castration-induced regression and relapse of the parental, androgen-dependent CWR22 xenograft (DSMZ).",MSI,57.96666667,2.039090596,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00942,Prostate,Tumour,Prostate Carcinoma,"('Prostate Carcinoma  (C4863)',)",,,,,Unknown,,Prostate,,,,,,SIDP00842,Homo Sapiens,Male,Unknown,Unknown,,924100,ACH-000956,22RV1_PROSTATE,CVCL_1045,DSMZ:ACC-438
23132-87,SIDM00980,St 23132,Cell Line,Adherent,,,,,MSI,60.83333333,2.026137951,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00443,Stomach,Tumour,Gastric Carcinoma,"('Gastric Adenocarcinoma  (C4004)',)",72,,,1987,Unknown,,Unknown,,,,,,SIDP00380,Homo Sapiens,Male,Unknown,Unknown,,910924,ACH-000948,2313287_STOMACH,CVCL_1046,DSMZ:ACC-201
2B8,SIDM01262,,Cell Line,Suspension,,,,,,,,SIDM01254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00056,Haematopoietic and Lymphoid,Tumour,Burkitt's Lymphoma,"('Epstein-Barr Virus-Related Burkitt s Lymphoma  (C27694)',)",7,,,,Unknown,,Ascites,,,,,,SIDP00044,Homo Sapiens,Male,Black,Unknown,"P3HR-1 is a clonally derived subline of Jiyoye.
2B8 is a HAT sensitive fusion cell line derived from the P3HR-1 (ATCC).",,,,,ATCC:CRL-12569
42-MG-BA,SIDM00982,,Cell Line,Adherent,,,,,MSS,5.866666667,3.833744325,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00444,Central Nervous System,Tumour,Glioblastoma,"('Glioblastoma  (C3058)',)",63,,,1990,None,,Temporal Lobe,,,,,,SIDP00381,Homo Sapiens,Male,Unknown,Unknown,,687561,ACH-000323,42MGBA_CENTRAL_NERVOUS_SYSTEM,CVCL_1798,DSMZ:ACC-431
451Lu,SIDM01240,WM 451-Lu;WC00059;LU451;EST81,Cell Line,Adherent,,,,,MSS,14.7,3.901640398,SIDM00802,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00062,Skin,Metastasis,Melanoma,"('Melanoma  (C3224)',)",22,,,,Unknown,,Unknown,,,,,,SIDP00048,Homo Sapiens,Male,Unknown,Unknown,451Lu is a selected xenograft aggressive metastatic sub-line of WM164 (Rockland).,1287706,ACH-001002,451LU_SKIN,CVCL_6357,Rockland:451Lu
